编号,功能牌名称,颜色,手段名称,手段消耗,手段效果,议案名称,议案效果,绑定卡
Red_Base_Sub_02,动物主义/七诫,红,动物主义,2,均分场上所有角色的资源，无法均分的部分进入公共资源。,七诫,资源最高的所有角色影响力-4,老少校
Red_Base_Sub_03,扰动战术/一切为了孩子,红,扰动战术,1,交换一方2名角色的位置。,一切为了孩子,资源最低的所有角色影响力+4,红冠母亲团
Red_Base_Sub_04,鸽毛信/新航线,红,鸽毛信,1,摸1张牌，然后将鸽毛信放置在牌堆顶。,新航线,行动阶段，双方获得以下可选行动：移动一名角色，每回合限一次。,鸽拉松
Red_Base_Sub_05,地下组织/通讯架构,红,地下组织,2,将一名红色角色从弃牌堆打出进场。,通讯架构,角色宣言时可以{消耗}其它同色角色的资源。,灰耗子
Yellow_Base_Sub_01,逃离庄园/保留私有财产,黄,逃离庄园,2,使你的一名角色回手。,保留私有财产,维持阶段离场结算前，没有资源的角色{募集1}。,莫莉
Yellow_Base_Sub_02,乘虚而入/贸易税,黄,乘虚而入,2,移动1名角色，重置或横置目标选区的双方角色。,贸易税,执行带有募集、转移资源、夺取效果的行动时，对手{募集1}.,那只猫
Yellow_Base_Sub_03,资产转移/财政紧缩,黄,资产转移,0,{抢先}；从你的1名角色上转移任意数量的资源至你的另一名角色。,财政紧缩,所有角色资源不可被夺取或由行动效果{消耗}。,金不换
Yellow_Base_Sub_04,欺软怕硬/商品化和平,黄,欺软怕硬,1,选择一名角色，资源不高于它的角色{消耗1}，资源高于它的角色{募集1}。,商品化和平,竞选阶段开始时，双方可以{消耗5}使一个选区视为平局。,波拉尼奥
Yellow_Base_Sub_05,头奖/集换中心,黄,头奖,1,声明1张卡牌，{审查}牌堆顶1张牌，若与声明卡牌一致，选择你的1个角色，其竞选阶段额外获得1票。,集换中心,行动阶段，为双方玩家增加以下可选行动：将1名角色的全部资源转移至对手角色，然后你的该角色回手。,货郎稀奇
Yellow_SP_Sub_01,永远在赢/边境墙,黄,永远在赢,3,选择1个选区，该选区竞选失败时视为平局。,边境墙,在场角色较多的一方无法移动，且不能打出角色进场。,唐纳德鸭
Blue_Base_Sub_01,午夜修宪/新七诫,蓝,午夜修宪,0,将1张被覆盖的议案牌置顶。,新七诫,{已审查}的功能牌无法作为手段打出或弃置募集资金。,吱嘎
Blue_Base_Sub_02,神父的告解室/蜜糖山传说,蓝,神父的告解室,2,"由你的对手执行2次选择：
①{审查}其1张手牌。
②{审查}你牌堆顶1张牌。",蜜糖山传说,资源获取阶段，玩家可以选择少摸1张牌，然后将3个自然资源分配给任意角色。,摩西
Blue_Base_Sub_03,两面派/新闻学联盟,蓝,两面派,1,{审查}对手1张手牌，若为角色牌，你可以{审查}1名在场角色；若为功能牌，可以视为由你免费打出。,新闻学联盟,{已审查}的功能牌可以由双方支付费用并打出（无视颜色）。,变色龙
Blue_Base_Sub_04,缄默不言/记录在案,蓝,视若无睹,2,{审查}对手至多3张手牌，对手的下一个行动具有{抢先}。,记录在案,行动阶段开始时，双方{审查}弃牌堆顶的1张牌。,穆里埃尔
Blue_Base_Sub_05,两条腿更好/领袖宣传费,蓝,两条腿更好,1,选择一名角色{消耗2}，然后将其重整。,领袖宣传费,行动阶段结束时，影响力最高的角色进行一次维持费用结算。,绵羊合唱团
Green_Base_Sub_01,不眠不休/风车蓝图,绿,不眠不休,1,选择1名角色，将其{竖置}或解除其{疲劳}。若其为绿，则获得1个自然资源。,风车蓝图,行动阶段结束时，所有绿色角色获得2个自然资源。,拳击手
Green_Base_Sub_02,警觉/平民互助会,绿,警觉,2,由你选择双方各1名角色回手。,平民互助会,空位的影响力视为3。,苜蓿
Green_Base_Sub_04,冷眼旁观/无政府主义,绿,冷眼旁观,2,重整1名角色，若其不为绿，使其{疲劳}。,无政府主义,竞选阶段，所有选区获得的选票-1.,本杰明
Green_Base_Sub_05,自由放牧/牧场计划,绿,自由放牧,2,移动1名角色，若其为绿，则解除其{疲劳}。,牧场计划,空位的对位维持费用+4.,五桶合作社
Purple_Base_Sub_01,突击检查/宵禁令,紫,突击检查,2,移动1名角色，然后横置对位角色。,宵禁令,行动阶段时，不能重整角色；重整阶段时，每名玩家最多重整1名角色。,拿破仑
Purple_Base_Sub_02,替死鬼/领袖高于一切,紫,替死鬼,1,交换你的2个同色角色的位置。,领袖高于一切,竞选阶段，影响力最高的角色胜利时视为{完胜}。,粉眼
Purple_Base_Sub_03,追猎/墓地税,紫,追猎,1,选择1名对手角色，对手必须将其移动，否则横置该角色。,墓地税,角色横置或离场时，若其还有资源，需要将2个资源转移至对位。,小小田
Purple_Base_Sub_04,酷刑/游行禁令,紫,严刑拷打,2,使1名角色影响力-5，若行动阶段结束时，其影响力为0，则立即离场。,游行禁令,角色不能移动或回手。,九犬护卫队
Purple_Base_Sub_05,全票通过/大独裁者,紫,全票通过,2,{独裁}；立即结束行动阶段,勇者斗兽场,宣言具有{独裁}的角色影响力+5，其对位影响力-5.,公牛将军
